epoch,train_accuracy,val_accuracy,train_loss,val_loss
5,0.9084,0.8739,0.2281,0.2389
6,0.9114,0.8670,0.2233,0.2379
7,0.9127,0.8766,0.2200,0.2284
8,0.9147,0.8754,0.2166,0.2321
9,0.9159,0.8775,0.2145,0.2280
10,0.9172,0.8804,0.2120,0.2264
1,0.8764,0.8518,0.2920,0.2261
2,0.8995,0.8552,0.2475,0.2305
3,0.9048,0.8676,0.2361,0.2397
4,0.9083,0.8772,0.2288,0.2256
5,0.9113,0.8819,0.2227,0.2179
6,0.9137,0.8834,0.2177,0.2155
7,0.9161,0.8773,0.2135,0.2224
8,0.9182,0.8877,0.2099,0.2098
9,0.9198,0.8895,0.2072,0.2069
10,0.9210,0.8870,0.2047,0.2103
1,0.8781,0.8512,0.2945,0.2836
2,0.8971,0.8522,0.2531,0.2830
3,0.9011,0.8551,0.2423,0.2782
4,0.9038,0.8570,0.2349,0.2716
5,0.9066,0.8561,0.2287,0.2636
6,0.9090,0.8581,0.2237,0.2660
7,0.9113,0.8600,0.2198,0.2587
8,0.9131,0.8635,0.2165,0.2528
9,0.9147,0.8614,0.2138,0.2557
10,0.9158,0.8623,0.2113,0.2561
1,0.8785,0.8730,0.2942,0.2609
2,0.8981,0.8791,0.2523,0.2605
3,0.9020,0.8726,0.2421,0.2571
4,0.9051,0.8749,0.2347,0.2468
5,0.9078,0.8763,0.2288,0.2471
6,0.9103,0.8807,0.2239,0.2379
7,0.9126,0.8804,0.2198,0.2349
8,0.9143,0.8882,0.2166,0.2245
9,0.9159,0.8888,0.2140,0.2234
10,0.9168,0.8878,0.2117,0.2264
1,0.8738,0.8524,0.2985,0.2870
2,0.8971,0.8555,0.2524,0.2735
3,0.9014,0.8617,0.2413,0.2583
4,0.9051,0.8654,0.2335,0.2502
5,0.9078,0.8648,0.2279,0.2508
6,0.9099,0.8658,0.2234,0.2453
7,0.9122,0.8669,0.2195,0.2542
8,0.9132,0.8627,0.2163,0.2538
9,0.9151,0.8736,0.2138,0.2375
10,0.9160,0.8702,0.2121,0.2438
1,0.8728,0.8509,0.2965,0.2620
2,0.8995,0.8735,0.2477,0.2459
3,0.9062,0.8768,0.2332,0.2419
4,0.9098,0.8775,0.2245,0.2338
5,0.9129,0.8786,0.2171,0.2338
6,0.9155,0.8848,0.2120,0.2180
7,0.9176,0.8897,0.2082,0.2159
8,0.9193,0.8876,0.2051,0.2153
9,0.9203,0.8920,0.2020,0.2087
10,0.9216,0.8928,0.1999,0.2036
1,0.8793,0.8529,0.2864,0.2863
2,0.9055,0.8631,0.2375,0.2677
3,0.9115,0.8754,0.2241,0.2523
4,0.9166,0.8805,0.2137,0.2441
5,0.9200,0.8861,0.2059,0.2296
6,0.9224,0.8850,0.2003,0.2293
7,0.9246,0.8879,0.1957,0.2262
8,0.9260,0.8895,0.1928,0.2234
9,0.9279,0.8970,0.1892,0.2142
10,0.9288,0.8951,0.1868,0.2154
1,0.8760,0.8409,0.2920,0.3137
2,0.8996,0.8514,0.2464,0.3010
3,0.9042,0.8598,0.2345,0.2819
4,0.9080,0.8643,0.2256,0.2709
5,0.9115,0.8656,0.2180,0.2680
6,0.9142,0.8680,0.2122,0.2586
7,0.9162,0.8694,0.2084,0.2603
8,0.9176,0.8780,0.2057,0.2409
9,0.9190,0.8767,0.2030,0.2476
10,0.9204,0.8759,0.2007,0.2468
1,0.8734,0.8423,0.2984,0.2408
2,0.8978,0.8563,0.2503,0.2394
3,0.9039,0.8707,0.2367,0.2345
4,0.9069,0.8754,0.2289,0.2317
5,0.9097,0.8868,0.2226,0.2159
6,0.9120,0.8834,0.2175,0.2156
7,0.9138,0.8874,0.2140,0.2104
8,0.9153,0.8854,0.2111,0.2200
9,0.9166,0.8891,0.2083,0.2120
10,0.9175,0.8921,0.2063,0.2091
1,0.8735,0.8718,0.3058,0.2216
2,0.8964,0.8628,0.2531,0.2291
3,0.9026,0.8833,0.2389,0.2143
4,0.9072,0.8845,0.2291,0.2070
5,0.9104,0.8948,0.2221,0.1998
6,0.9132,0.8888,0.2162,0.2067
